,model,timmean,shift,slope
0,ERA5,1,-0.8270013635263106,0.02711794628891278
1,UKESM1-0-LL,0.05235096934649158,0.6788135188795756,-0.0015487731695501227
2,ACCESS-CM2,-0.0058417570342234985,0.11074986573101615,0.002295405993940236
3,ACCESS-ESM1-5,-0.0065421045440224495,-0.4208326066096003,0.020708585545436437
4,AWI-CM-1-1-MR,0.038859964432406136,-0.05092448892225019,0.01133815679880183
5,BCC-CSM2-MR,0.0598837541309094,-0.3366003361318197,0.011231079441204557
6,CAMS-CSM1-0,0.03502953802097853,0.08115600767799955,0.004055421936502468
7,CESM2-WACCM,0.03186757114101253,0.167002503286209,0.005080538895662713
8,CESM2,0.06974571277066532,0.0502616322134589,0.007296070254287694
9,CMCC-ESM2,-0.016010132082229345,-0.8793829091975984,0.021169854815013708
10,CNRM-CM6-1-HR,0.09600316287157779,-0.4345863725122607,0.015465387343714705
11,CNRM-CM6-1,0.012243098622819545,-0.279015976627782,0.021631633226158895
12,CNRM-ESM2-1,0.07937398619910242,-0.787199404770001,0.028038246208820068
13,CanESM5-CanOE,0.0626046991124365,-0.4402777758928556,0.018305594198723407
14,CanESM5,-0.0327833767437806,-0.6158338404585821,0.024186823972140115
15,EC-Earth3,-0.0070313968930565025,-1.18241250496708,0.03836962507907241
16,FGOALS-f3-L,-0.02081243776937102,-0.48823487047956665,0.03021540080225688
17,FGOALS-g3,0.03934244944185734,-0.3163901530841615,0.012209653565726931
18,FIO-ESM-2-0,-0.023199340192961257,-0.5033232413791036,0.020023100281272337
19,GFDL-CM4,0.04967284087456818,0.4602247772137153,0.005898373979032071
20,GFDL-ESM4,-0.05702484212690654,0.06872140717271757,0.0028423792436643646
21,GISS-E2-1-G,0.11555527592647276,0.02112321480238417,-0.002109098500562011
22,HadGEM3-GC31-LL,0.033876467868200706,-0.1346153023788107,0.008330568990836567
23,IITM-ESM,0.008080700553933017,-0.7263557200238931,0.022820024025906705
24,INM-CM4-8,0.04055753878665574,-0.4511420354903907,0.015289720014197913
25,INM-CM5-0,0.006128267003805822,-0.44667882619668053,0.012425822450057635
26,IPSL-CM6A-LR,-0.005449185506492735,-0.5907722987544523,0.01763769775942808
27,KACE-1-0-G,-0.01020977585169074,-0.48148759597360874,0.02023515344466411
28,KIOST-ESM,0.02015462195564035,-0.3120604596691778,0.010852409778120598
29,MCM-UA-1-0,0.0019777488419886447,0.5159386934829496,0.0016123004761519919
30,MIROC-ES2L,0.08010594535295723,0.42471434735818775,0.0017746849673029666
31,MIROC6,0.06882831108022613,-0.19625705119381645,0.006182251782337845
32,MPI-ESM1-2-HR,-0.08245837770862245,-0.40227060182357005,0.009025592010228805
33,MPI-ESM1-2-LR,0.04855782267273643,-0.259297619138722,0.013485558934783821
34,MRI-ESM2-0,-0.0006788329401130759,0.02054347082772156,0.006553371170107246
35,NESM3,-0.05987765847146253,0.09894877554309502,0.005173690284358798
36,NorESM2-LM,0.04979593859751596,0.21439959436059322,0.007122550253227478
37,NorESM2-MM,0.03366223058870591,-0.3002679669557949,0.017378918800963903
38,TaiESM1,0.06990577003504275,0.1426376388055231,0.00389857227619315
